0,1,2,3,4,5,6
0.232858,0.971223,0.386976,0.335185,0.982026,0.540776,0.044111
0.563277,0.90894,0.619333,0.612458,0.924749,0.656381,0.503974
0.468697,0.89817,0.541792,0.739289,0.901501,0.595749,0.506884
0.283214,0.945214,0.436688,0.545249,0.957509,0.6343,0.216246
0.81384,0.670588,0.776939,0.790807,0.538432,0.730843,0.738248
0.900692,0.280565,0.901158,0.869571,0.175672,0.802629,0.922149
0.943266,-0.085822,0.889493,0.907311,-0.251573,0.901742,0.947088
0.973041,-0.148325,0.921792,0.878301,-0.279238,0.863449,0.950948
-0.148325,0.990039,0.253152,0.269052,0.989482,0.43576,-0.167624
0.921792,0.253152,0.943787,0.831834,0.076626,0.836217,0.928627
0.878301,0.269052,0.831834,0.927311,0.300202,0.779323,0.901986
-0.279238,0.989482,0.076626,0.300202,0.996349,0.399757,-0.290739
0.863449,0.43576,0.836217,0.779323,0.399757,0.927784,0.857064
0.950948,-0.167624,0.928627,0.901986,-0.290739,0.857064,0.980643
,,,,,,
